Match ID,date,Team 1,Team 2,Venue,Toss Winner,Toss Decision,Player of Match,Umpire1,Umpire2,Winner,Won by Wickets,Won by Runs,Super over
1187681,2/2/2020,New Zealand, India,Bay Oval,India,Bat,JJ Bumrah,CM Brown,SB Haig,India,,7,
1187680,31-01-2020,New Zealand,India,Westpac Stadium,New Zeland,Field,SN Thakur,CM Brown,SB Haig,India,,,India
1187679,29-01-2020,New Zealand,India,Seddon Park,New Zeland,Field,RG Sharma,CM Brown,SB Haig,India,,,India
1187678,26-01-2020,New Zealand,India,Eden Gardens,New Zeland,Bat,KL Rahul,CM Brown,SB Haig,India,7,,
1187677,24-01-2020,New Zealand,India,Eden Gardens,India,Field,SS Iyer,CM Brown,SB Haig,India,6,,
1202244,10/1/2020,India,Sri Lanka,Maharashtra Cricket Association Stadium,Sri Lanka,Field,SN Thakur,Nitin Menon,VK Sharma,India,,78,
1202243,7/1/2020,India,Sri Lanka,Holkar Cricket Stadium,India,Field,NA Saini,C Shamshuddin,AK Chaudhary,India,7,,
1187020,11/12/2019,India,West Indies,Wankhede Stadium,West Indies,Field,KL Rahul,Nitin Menon,CK Nandan,India,,67,
1187019,8/12/2019,India,West Indies,Greenfield International Stadium,West Indies,Field,LMP Simmons,AK Chaudhary,CK Nandan,West Indies,8,,
1187018,6/12/2019,India,West Indies,Rajiv Gandhi International Stadium,India,Field,V Kohli,C Shamshuddin,Nitin Menon,India,6,,
1187015,10/11/2019,India,Bangladesh,Vidarbha Cricket Association Stadium,Bangladesh,Field,DL Chahar,AK Chaudhary,CK Nandan,India,,30,
1187014,7/11/2019,India,Bangladesh,Saurashtra Cricket Association Stadium,India,Field,RG Sharma,C Shamshuddin,Nitin Menon,India,8,,
1187013,3/11/2019,India,Bangladesh,Arun Jaitley Stadium,Bangladesh,Field,Mushfiqur Rahim,Nitin Menon,CK Nandan,Bangladesh,7,,
1187006,22-09-2019,India,South Africa,M Chinnaswamy Stadium,India,Bat,BE Hendricks,Nitin Menon,CK Nandan,South Africa,9,,
1187005,18-09-2019,India,South Africa,Punjab Cricket Association,India,Field,V Kohli,C Shamshuddin,AK Chaudhary,India,7,,
1188623,6/8/2019,West Indies,India,Providence Stadium,India,Field,DL Chahar,N Duguid,LS Reifer,India,7,,
1188622,4/8/2019,West Indies,India,Central Broward Regional Park Stadium Turf Ground,India,Bat,KH Pandya,N Duguid,GO Brathwhite,India,,22,
1188621,3/8/2019,West Indies,India,Central Broward Regional Park Stadium Turf Ground,India,Field,NA Saini,N Duguid,GO Brathwhite,India,4,,
1168248,27-02-2019,India,Australia,M Chinnaswamy Stadium,Australia,Field,GJ Maxwell,AK Chaudhary,CK Nandan,Australia,7,,
1168247,24-02-2019,India,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Australia,Field,NM Coulter-Nile,C Shamshuddin,Nitin Menon,Australia,3,,
1153698,10/2/2019,New Zealand,India,Seddon Park,India,Field,C Munro,SB Haig,WR Knights,New Zeland,,4,
1153697,8/2/2019,New Zealand,India,Eden Gardens,New Zeland,Bat,KH Pandya,CM Brown,WR Knights,India,7,,
1153696,6/2/2019,New Zealand,India,Westpac Stadium,India,Field,TL Seifert,CM Brown,SB Haig,New Zeland,,80,
1144992,25-11-2018,Australia,India,Sydney Cricket Ground,Australia,Bat,KH Pandya,P Wilson,GA Abood,India,6,,
1144991,23-11-2018,Australia,India,Melbourne Cricket Ground,India,Field,NIL,GA Abood,SD Fry,NIL,,,
1144990,21-11-2108,Australia,India,Brisbane Cricket Ground,India,Field,A Zampa,P Wilson,SD Fry,Australia,,4,
1157761,11/11/2018,India,West Indies,MA Chidambaram Stadium,West Indies,Bat,S Dhawan,C Shamshuddin,AK Chaudhary,India,6,,
1157760,6/11/2018,India,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,Field,RG Sharma,AK Chaudhary,CK Nandan,India,,71,
1157759,6/11/2018,India,West Indies,Eden Gardens,India,Field,Kuldeep Yadav,C Shamshuddin,CK Nandan,India,5,,
1119545,8/7/2018,England,India,County Ground,India,Field,RG Sharma,RT Robinson,RJ Bailey,India,7,,
1119544,6/7/2018,England,India,Sophia Gardens,England,Field,AD Hales,RT Robinson,MA Gough,England,5,,
1119543,3/7/2018,England,India,Old Trafford,India,Field,Kuldeep Yadav,AG Wharf,RJ Bailey,India,8,,
1140993,29-06-2018,Ireland,India,The Village,Ireland,Field,KL Rahul,R Black,AJ Neill,India,,143,
1140992,27-06-2018,Ireland,India,The Village,Ireland,Field,Kuldeep Yadav,M Hawthrone,R Black,India,,76,
1133823,18-03-2018,India,Bangladesh,R Premadasa Stadium,India,Field,KD Karthik,RR Wimalasiri,RSA Palliyaguruge,India,4,,
1133821,14-03-2018,Bangladesh,India,R Premadasa Stadium,Bangladesh,Field,RG Sharma,REJ Martinesz,RR Wimalasiri,India,,17,
1133820,12/3/2018,Sri Lanka,India,R Premadasa Stadium,India,Field,SN Thakur,REJ Martinesz,LE Hannibal,India,6,,
1133818,8/3/2018,Bangladesh,India,R Premadasa Stadium,India,Field,V Shankar,REJ Martinesz,LE Hannibal,India,6,,
1133817,6/3/2018,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,Field,MDKJ Perera,REJ Martinesz,RR Wimalasiri,Sri Lanka,5,,
1122287,24-02-2018,South Africa,India,Newlands,South Africa,Field,SK Raina,BP Jele,S George,India,,7,
1122286,21-02-2018,South Africa,India,SuperSport Park,South Africa,Field,H Klaasen,A Paleker,BP Jele,South Africa,6,,
1122285,18-02-2018,South Africa,India,The Wanderers Stadium,South Africa,Field,B Kumar,AT Holdstock,S George,India,,28,
1122731,24-12-2017,India,Sri Lanka,Wankhede Stadium,India,Field,JD Unadkat,AK Chaudhary,Nitin Menon,India,5,,
1122730,22-12-2017,India,Sri Lanka,Holkar Cricket Stadium,Sri Lanka,Field,RG Sharma,AK Chaudhary,CK Nandan,India,,88,
1122729,20-12-2017,India,Sri Lanka,Barabati Stadium,Sri Lanka,Field,YS Chahal,Nitin Menon,CK Nandan,India,,93,
1120095,7/11/2017,India,New Zealand,Greenfield International Stadium,New Zealand,Field,JJ Bumrah,AK Chaudhary,Nitin Menon,India,,6,
1120094,4/11/2017,India,New Zealand,Saurashtra Cricket Association Stadium,New Zealand,Bat,C Munro,AK Chaudhary,CK Nandan,New Zeland,,40,
1120093,1/11/2017,India,New Zealand,Arun Jaitley Stadium,New Zealand,Field,S Dhawan,C Shamshuddin,Nitin Menon,India,,53,
1119502,10/10/2017,India,Australia,Barsapara Cricket Stadium,Australia,Field,JP Behrendorff,Nitin Menon,CK Nandan,Australia,8,,
1119501,7/10/2017,India,Australia,JSCA International Stadium Complex,India,Field,Kuldeep Yadav,C Shamshuddin,Nitin Menon,India,9,,
1109610,6/9/2017,Sri Lanka,India,R Premadasa Stadium,India,Field,V Kohli,REJ Martinesz,RSA Palliyaguruge,India,7,,
1098211,9/7/2017,West Indies,India,Sabina Park,West Indies,Field,E Lewis,N Duguid,LS Reifer,West Indies,9,,
1034829,1/2/2017,India,England,M Chinnaswamy Stadium,England,Field,YS Chahal,AK Chaudhary,Nitin Menon,India,,75,
1034827,29-01-2017,India,England,Vidarbha Cricket Association Stadium,England,Field,JJ Bumrah,AK Chaudhary,C Shamshuddin,India,,5,
1034825,26-01-2017,India,England,Green Park,England,Field,MM Ali,AK Chaudhary,Nitin Menon,England,7,,
1041617,28-08-2016,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,Field,NIL,LS Reifer,JS Wilson,NIL,,,
1041615,27-08-2016,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,Field,E Lewis,N Duguid,JS Wilson,West Indies,,1,
1007659,22-06-2016,Zimbabwe,India,Harare Sports Club,Zimbabwe,Field,KM Jadhav,TJ Matibiri,RB Tiffin,India,,3,
1007657,20-06-2016,Zimbabwe,India,Harare Sports Club,Zimbabwe,Bat,BB Sran,L Rusere,RB Tiffin,India,10,,
1007655,18-06-2016,Zimbabwe,India,Harare Sports Club,India,Field,E Chigumbura,TJ Matibiri,RB Tiffin,Zimbanwe,,2,
951371,31-03-2016,India,West Indies,Wankhede Stadium,West Indies,Field,LMP Simmons,IJ Gould,RA Kettleborough,West Indies,7,,
951363,27-03-2016,India,Australia,Punjab Cricket Association,Australia,Bat,V Kohli,HDPK Dharmasena,M Erasmus,India,6,,
951353,23-03-2016,India,Bangladesh,M Chinnaswamy Stadium,Bangladesh,Field,R Ashwin,Aleem Dar,BNJ Oxenford,India,,1,
951341,19-03-2016,India,Pakistan,Eden Gardens,India,Field,V Kohli,IJ Gould,RA Kettleborough,India,6,,
951329,15-03-2016,India,New Zealand,Vidarbha Cricket Association Stadium,New Zealand,Bat,MJ Santner,HDPK Dharmasena,RK Illingworth,New Zeland,,47,
966765,3-Jun,Bangladesh,India,Shere Bangla National Stadium,India,Field,S Dhawan,RSA Palliyaguruge,Shozab Raza,India,8,,
966761,3/3/2016,India,UAE,Shere Bangla National Stadium,United Arab Emirates,Bat,RG Sharma,Sharfuddoula,Shozab Raza,India,9,,
966757,1/3/2016,India,Sri Lanka,Shere Bangla National Stadium,India,Field,V Kohli,Anisur Rahman,Shozab Raza,India,5,,
966751,27-02-2016,India,Pakistan,Shere Bangla National Stadium,India,Field,V Kohli,RSA Palliyaguruge,Sharfuddoula,India,5,,
966745,24-02-2016,Bangladesh,India,Shere Bangla National Stadium,Bangladesh,field,RG Sharma,RSA Palliyaguruge,Shozab Raza,India,,45,
963701,14-02-2016,India,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,R Ashwin,AK Chaudhary,CK Nandan,India,9,,
963699,12/2/2016,India,Sri Lanka,JSCA International Stadium Complex,Sri Lanka,field,S Dhawan,AK Chaudhary,VA Kulkarni,India,,69,
963697,9/2/2016,India,Sri Lanka,Maharashtra Cricket Association Stadium,Sri Lanka,field,CAK Rajitha,VA Kulkarni,CK Nandan,Sri Lanka,5,,
895821,31-01-2016,Australia,India,Sydney Cricket Ground,Australia,bat,SR Watson,SD Fry,JD Ward,India,7,,
895819,29-01-2016,Australia,India,Melbourne Cricket Ground,Australia,field,V Kohli,SD Fry,P Wilson,India,,27,
895817,26-01-2016,Australia,India,Adelaide Oval,Australia,Field,V Kohli,SD Fry,JD Ward,India,,37,
903589,5/10/2015,India,South Africa,Barabati Stadium,South Africa,Field,JA Morkel,CK Nandan,C Shamshuddin,South Africa,6,,
903587,2/10/2015,India,South Africa,Himachal Pradesh Cricket Association Stadium,South Africa,Field,JP Duminy,VA Kulkarni,C Shamshuddin,South Africa,7,,
885971,19-07-2015,Zimbabwe,India,Harare Sports Club,Zimbabwe,bat,CJ Chibhabha,L Rusere,RB Tiffin,Zimbanwe,,10,
885969,17-07-2015,Zimbabwe,India,Harare Sports Club,India,bat,AR Patel,TJ Matibiri,RB Tiffin,India,,54,
667731,7/9/2014,England,India,Edgbaston,England,bat,EJG Morgan,IJ Gould,RT Robinson,England,,3,
682965,6/4/2014,India,Sri Lanka,Shere Bangla National Stadium,Sri Lanka,field,KC Sangakkara,IJ Gould,RA Kettleborough,Sri Lanka,6,,
682963,4/4/2014,India,South Africa,Shere Bangla National Stadium,South Africa,bat,V Kohli,HDPK Dharmasena,IJ Gould,India,6,,
682951,30-03-2014,Australia,India,Shere Bangla National Stadium,Australia,Field,R Ashwin,HDPK Dharmasena,M Erasmus,India,,73,
682943,28-03-2014,Bangladesh,India,Shere Bangla National Stadium,India,Field,R Ashwin,HDPK Dharmasena,RA Kettleborough,India,8,,
682929,23-03-2014,India,West Indies,Shere Bangla National Stadium,India,Field,A Mishra,HDPK Dharmasena,RK Illingworth,India,7,,
682921,21-03-2014,India,Pakistan,Shere Bangla National Stadium,India,Field,A Mishra,HDPK Dharmasena,RA Kettleborough,India,7,,
647247,10/10/2013,India,Australia,Saurashtra Cricket Association Stadium,India,Field,Yuvraj Singh,AK Chaudhary,C Shamshuddin,India,6,,
589307,28-12-2012,India,Pakistan,Sardar Patel Stadium,Pakistan,Field,Yuvraj Singh,S Asnani,VA Kulkarni,India,,11,
589306,25-12-2012,India,Pakistan,M Chinnaswamy Stadium,Pakistan,field,Mohammad Hafeez,S Ravi,C Shamshuddin,Pakistan,5,,
565811,22-12-2012,India,England,Wankhede Stadium,England,Field,EJG Morgan,VA Kulkarni,S Ravi,England,6,,
565810,20-12-2012,India,England,Subrata Roy Sahara Stadium,India,Field,Yuvraj Singh,S Asnani,C Shamshuddin,India,5,,
533295,2/10/2012,India,South Africa,R Premadasa Stadium,South Africa,Field,Yuvraj Singh,HDPK Dharmasena,RJ Tucker,India,,1,
533291,30-09-2012,India,Pakistan,R Premadasa Stadium,Pakistan,bat,V Kohli,RA Kettleborough,RJ Tucker,India,8,,
533287,28-09-2012,Australia,India,R Premadasa Stadium,India,Bat,SR Watson,HDPK Dharmasena,RA Kettleborough,Australia,9,,
533281,23-09-2012,England,India,R Premadasa Stadium,England,Field,Harbhajan Singh,Aleem Dar,SJA Taufel,India,,90,
533274,19-09-2012,Afghanistan,India,R Premadasa Stadium,Afghanistan,field,V Kohli,Asad Rauf,SJA Taufel,India,,23,
565820,11/9/2012,India,New Zealand,MA Chidambaram Stadium,India,Field,BB McCullum,VA Kulkarni,S Ravi,New Zeland,,1,
564786,7/8/2012,Sri Lanka,India,Pallekele International Cricket Stadium,Sri Lanka,Field,IK Pathan,HDPK Dharmasena,TH Wijewardene,India,,39,
556252,30-03-2012,South Africa,India,New Wanderers Stadium,India,Field,CA Ingram,JD Cloete,S George,South Africa,,11,
518955,3/2/2012,Australia,India,Melbourne Cricket Ground,Australia,Bat,RA Jadeja,SD Fry,BNJ Oxenford,India,8,,
518954,1/2/2012,Australia,India,Stadium Australia,India,Field,MS Wade,BNJ Oxenford,PR Reiffel,Australia,,31,
521217,29-10-2011,India,England,Eden Gardens,India,Bat,KP Pietersen,S Asnani,S Ravi,England,6,,
474476,31-08-2011,England,India,Old Trafford,India,Bat,JW Dernbach,RJ Bailey,RK Illingworth,England,6,,
489220,4/6/2011,West Indies,India,Queen's Park Oval,West Indies,Field,S Badrinath,NA Malcolm,PJ Nero,India,,16,
463149,9/1/2011,South Africa,India,Moses Mabhida Stadium,India,Bat,RG Sharma,M Erasmus,BG Jerling,India,,21,
452154,13-06-2010,Zimbabwe,India,Harare Sports Club,India,Field,SK Raina,O Chirombe,RB Tiffin,India,7,,
452153,12/6/2010,Zimbabwe,India,Harare Sports Club,India,field,YK Pathan,O Chirombe,RB Tiffin,India,6,,
412699,11/5/2010,India,Sri Lanka,Beausejour Stadium,India,Bat,AD Mathews,Aleem Dar,SJ Davis,Sri Lanka,5,,
412695,9/5/2010,West Indies,India,Kensington Oval,India,Field,CH Gayle,BF Bowden,SJA Taufel,West Indies,,14,
412691,7/5/2010,Australia,India,Kensington Oval,India,Field,DA Warner,BF Bowden,BR Doctrove,Australia,,49,
412682,2/5/2010,India,South Africa,Beausejour Stadium,South Africa,Field,SK Raina,Aleem Dar,SJA Taufel,India,,14,
412679,1/5/2010,Afghanistan,India,Beausejour Stadium,India,Field,A Nehra,Aleem Dar,M Erasmus,India,7,,
430885,12/12/2009,India,Sri Lanka,Punjab Cricket Association,Sri Lanka,Bat,Yuvraj Singh,SS Hazare,SK Tarapore,India,6,,
430884,9/12/2009,India,Sri Lanka,Vidarbha Cricket Association Stadium,India,Field,KC Sangakkara,AM Saheba,SK Tarapore,Sri Lanka,,29,
356014,16-06-2009,India,South Africa,Trent Bridge,South Africa,Bat,AB de Villiers,BF Bowden,IJ Gould,South Africa,,12,
356010,14-06-2009,England,India,Lord's,India,Field,RJ Sidebottom,SJ Davis,EAR de Silva,England,,3,
356006,12/6/2009,India,West Indies,Lord's,India,bat,DJ Bravo,Aleem Dar,RE Koertzen,West Indies,7,,
356001,10/6/2009,India,Ireland,Trent Bridge,India,Field,Z Khan,IJ Gould,NJ Llong,India,8,,
355994,6/6/2009,Bangladesh,India,Trent Bridge,India,Bat,PP Ojha,BF Bowden,SJA Taufel,India,,25,
366622,27-02-2009,New Zealand,India,Westpac Stadium,New Zealand,Field,BB McCullum,GAV Baxter,AL Hill,New Zeland,5,,
386494,25-02-2009,New Zealand,India,AMI Stadium,New Zealand,Field,BB McCullum,GAV Baxter,EA Watkin,New Zeland,7,,
386535,10/2/2009,Sri Lanka,India,R Premadasa Stadium,,Bat,YK Pathan,MG Silva,TH Wijewardene,India,3,,
291356,1/2/2008,Australia,India,Melbourne Cricket Ground,India,Bat,MJ Clarke,BNJ Oxenford,SJA Taufel,Australia,9,,
297800,20-10-2007,India,Australia,Brabourne Stadium,India,Bat,G Gambhir,AM Saheba,SL Shastri,India,7,,
287879,24-09-2007,India,Pakistan,New Wanderers Stadium,India,Bat,IK Pathan,MR Benson,SJA Taufel,India,,5,
287878,22-09-2007,Australia,India,Kingsmead,India,Bat,Yuvraj Singh,Asad Rauf,MR Benson,India,,15,
287876,20-09-2007,South Africa,India,Kingsmead,India,Bat,RG Sharma,BR Doctrove,SJA Taufel,India,,37,
287873,19-09-2007,England,India,Kingsmead,India,Bat,Yuvraj Singh,BR Doctrove,SJA Taufel,India,,18,
287865,16-09-2007,India,New Zealand,New Wanderers Stadium,India,Field,DL Vettori,MR Benson,NJ Llong,New Zeland,,10,
287862,14-09-2007,India,Pakistan,Kingsmead,Pakistan,Field,Mohammad Asif,BR Doctrove,SJA Taufel,NIL,,,
255954,1/12/2006,South Africa,India,New Wanderers Stadium,South Africa,Bat,KD Karthik,IL Howell,BG Jerling,India,6,,
